"","x","y","count"
"1",0.25,0.25,0
"2",0.5,0.25,0
"3",0.75,0.25,0
"4",1,0.25,0
"5",1.25,0.25,0
"6",1.5,0.25,0
"7",1.75,0.25,0
"8",2,0.25,0
"9",2.25,0.25,0
"10",2.5,0.25,0
"11",2.75,0.25,0
"12",3,0.25,0
"13",3.25,0.25,0
"14",3.5,0.25,0
"15",3.75,0.25,0
"16",4,0.25,0
"17",4.25,0.25,0
"18",4.5,0.25,0
"19",4.75,0.25,0
"20",5,0.25,0
"21",5.25,0.25,0
"22",5.5,0.25,0
"23",5.75,0.25,0
"24",6,0.25,0
"25",6.25,0.25,0
"26",6.5,0.25,0
"27",6.75,0.25,0
"28",7,0.25,0
"29",7.25,0.25,0
"30",7.5,0.25,0
"31",7.75,0.25,0
"32",8,0.25,0
"33",8.25,0.25,0
"34",8.5,0.25,0
"35",8.75,0.25,0
"36",9,0.25,0
"37",9.25,0.25,0
"38",9.5,0.25,0
"39",9.75,0.25,0
"40",10,0.25,0
"41",10.25,0.25,0
"42",10.5,0.25,0
"43",10.75,0.25,0
"44",11,0.25,0
"45",11.25,0.25,0
"46",11.5,0.25,0
"47",11.75,0.25,0
"48",12,0.25,0
"49",12.25,0.25,0
"50",12.5,0.25,0
"51",12.75,0.25,0
"52",13,0.25,0
"53",13.25,0.25,0
"54",13.5,0.25,0
"55",13.75,0.25,0
"56",14,0.25,0
"57",14.25,0.25,0
"58",14.5,0.25,0
"59",14.75,0.25,0
"60",15,0.25,0
"61",15.25,0.25,0
"62",15.5,0.25,0
"63",15.75,0.25,0
"64",16,0.25,0
"65",16.25,0.25,0
"66",16.5,0.25,0
"67",16.75,0.25,0
"68",17,0.25,0
"69",17.25,0.25,0
"70",17.5,0.25,0
"71",17.75,0.25,0
"72",18,0.25,0
"73",18.25,0.25,0
"74",18.5,0.25,0
"75",18.75,0.25,0
"76",19,0.25,0
"77",19.25,0.25,0
"78",19.5,0.25,0
"79",19.75,0.25,0
"80",20,0.25,0
"81",20.25,0.25,0
"82",20.5,0.25,0
"83",20.75,0.25,0
"84",21,0.25,0
"85",21.25,0.25,0
"86",21.5,0.25,0
"87",21.75,0.25,0
"88",22,0.25,0
"89",22.25,0.25,0
"90",22.5,0.25,0
"91",22.75,0.25,0
"92",23,0.25,0
"93",23.25,0.25,0
"94",23.5,0.25,0
"95",23.75,0.25,0
"96",24,0.25,0
"97",24.25,0.25,0
"98",24.5,0.25,0
"99",24.75,0.25,0
"100",25,0.25,0
"101",25.25,0.25,0
"102",25.5,0.25,0
"103",25.75,0.25,0
"104",26,0.25,0
"105",26.25,0.25,0
"106",26.5,0.25,0
"107",26.75,0.25,0
"108",27,0.25,0
"109",27.25,0.25,0
"110",27.5,0.25,0
"111",27.75,0.25,0
"112",28,0.25,0
"113",28.25,0.25,0
"114",28.5,0.25,0
"115",28.75,0.25,0
"116",29,0.25,0
"117",29.25,0.25,0
"118",29.5,0.25,0
"119",29.75,0.25,0
"120",30,0.25,0
"121",30.25,0.25,0
"122",30.5,0.25,0
"123",30.75,0.25,0
"124",31,0.25,0
"125",31.25,0.25,0
"126",31.5,0.25,0
"127",31.75,0.25,0
"128",32,0.25,0
"129",32.25,0.25,0
"130",32.5,0.25,0
"131",32.75,0.25,0
"132",33,0.25,0
"133",33.25,0.25,0
"134",33.5,0.25,0
"135",33.75,0.25,0
"136",34,0.25,0
"137",34.25,0.25,0
"138",34.5,0.25,0
"139",34.75,0.25,0
"140",35,0.25,0
"141",35.25,0.25,0
"142",35.5,0.25,0
"143",35.75,0.25,0
"144",36,0.25,0
"145",36.25,0.25,0
"146",36.5,0.25,0
"147",36.75,0.25,0
"148",37,0.25,0
"149",37.25,0.25,0
"150",37.5,0.25,0
"151",37.75,0.25,0
"152",38,0.25,0
"153",38.25,0.25,0
"154",38.5,0.25,0
"155",38.75,0.25,0
"156",39,0.25,0
"157",39.25,0.25,0
"158",39.5,0.25,0
"159",39.75,0.25,0
"160",40,0.25,0
"161",40.25,0.25,0
"162",40.5,0.25,0
"163",40.75,0.25,0
"164",41,0.25,0
"165",41.25,0.25,0
"166",41.5,0.25,0
"167",41.75,0.25,0
"168",42,0.25,0
"169",42.25,0.25,0
"170",42.5,0.25,0
"171",42.75,0.25,0
"172",43,0.25,0
"173",43.25,0.25,0
"174",43.5,0.25,0
"175",43.75,0.25,0
"176",44,0.25,0
"177",44.25,0.25,0
"178",44.5,0.25,0
"179",44.75,0.25,0
"180",45,0.25,0
"181",45.25,0.25,0
"182",45.5,0.25,0
"183",45.75,0.25,0
"184",46,0.25,0
"185",46.25,0.25,0
"186",46.5,0.25,0
"187",46.75,0.25,0
"188",47,0.25,0
"189",47.25,0.25,0
"190",47.5,0.25,0
"191",47.75,0.25,0
"192",48,0.25,0
"193",48.25,0.25,0
"194",48.5,0.25,0
"195",48.75,0.25,0
"196",49,0.25,0
"197",49.25,0.25,0
"198",49.5,0.25,0
"199",49.75,0.25,0
"200",50,0.25,0
"201",50.25,0.25,0
"202",50.5,0.25,0
"203",50.75,0.25,0
"204",51,0.25,0
"205",51.25,0.25,0
"206",51.5,0.25,0
"207",51.75,0.25,0
"208",52,0.25,0
"209",52.25,0.25,0
"210",52.5,0.25,0
"211",52.75,0.25,0
"212",53,0.25,0
"213",53.25,0.25,0
"214",53.5,0.25,0
"215",53.75,0.25,0
"216",54,0.25,0
"217",54.25,0.25,0
"218",54.5,0.25,0
"219",54.75,0.25,0
"220",55,0.25,0
"221",55.25,0.25,0
"222",55.5,0.25,0
"223",55.75,0.25,0
"224",56,0.25,0
"225",56.25,0.25,0
"226",56.5,0.25,0
"227",56.75,0.25,0
"228",57,0.25,0
"229",57.25,0.25,0
"230",57.5,0.25,0
"231",57.75,0.25,0
"232",58,0.25,0
"233",58.25,0.25,0
"234",58.5,0.25,0
"235",58.75,0.25,0
"236",59,0.25,0
"237",59.25,0.25,0
"238",59.5,0.25,0
"239",59.75,0.25,0
"240",60,0.25,0
"241",60.25,0.25,0
"242",60.5,0.25,0
"243",60.75,0.25,0
"244",61,0.25,0
"245",61.25,0.25,0
"246",61.5,0.25,0
"247",61.75,0.25,0
"248",62,0.25,0
"249",62.25,0.25,0
"250",62.5,0.25,0
"251",62.75,0.25,0
"252",63,0.25,0
"253",63.25,0.25,0
"254",63.5,0.25,0
"255",63.75,0.25,0
"256",64,0.25,0
"257",64.25,0.25,0
"258",64.5,0.25,0
"259",64.75,0.25,0
"260",65,0.25,0
"261",65.25,0.25,0
"262",65.5,0.25,0
"263",65.75,0.25,0
"264",66,0.25,0
"265",66.25,0.25,0
"266",66.5,0.25,0
"267",66.75,0.25,0
"268",67,0.25,0
"269",67.25,0.25,0
"270",67.5,0.25,0
"271",67.75,0.25,0
"272",68,0.25,0
"273",68.25,0.25,0
"274",68.5,0.25,0
"275",68.75,0.25,0
"276",69,0.25,0
"277",69.25,0.25,0
"278",69.5,0.25,0
"279",69.75,0.25,0
"280",70,0.25,0
"281",70.25,0.25,0
"282",70.5,0.25,0
"283",70.75,0.25,0
"284",71,0.25,0
"285",71.25,0.25,0
"286",71.5,0.25,0
"287",71.75,0.25,0
"288",72,0.25,0
"289",72.25,0.25,0
"290",72.5,0.25,0
"291",72.75,0.25,0
"292",73,0.25,0
"293",73.25,0.25,0
"294",73.5,0.25,0
"295",73.75,0.25,0
"296",74,0.25,0
"297",74.25,0.25,0
"298",74.5,0.25,0
"299",74.75,0.25,0
"300",75,0.25,0
"301",75.25,0.25,0
"302",75.5,0.25,0
"303",75.75,0.25,0
"304",76,0.25,0
"305",76.25,0.25,0
"306",76.5,0.25,0
"307",76.75,0.25,0
"308",77,0.25,0
"309",77.25,0.25,0
"310",77.5,0.25,0
"311",77.75,0.25,0
"312",78,0.25,0
"313",78.25,0.25,0
"314",78.5,0.25,0
"315",78.75,0.25,0
"316",79,0.25,0
"317",79.25,0.25,0
"318",79.5,0.25,0
"319",79.75,0.25,0
"320",80,0.25,0
"321",80.25,0.25,0
"322",80.5,0.25,0
"323",80.75,0.25,0
"324",81,0.25,0
"325",81.25,0.25,0
"326",81.5,0.25,0
"327",81.75,0.25,0
"328",82,0.25,0
"329",82.25,0.25,0
"330",82.5,0.25,0
"331",82.75,0.25,0
"332",83,0.25,0
"333",83.25,0.25,0
"334",83.5,0.25,0
"335",83.75,0.25,0
"336",84,0.25,0
"337",84.25,0.25,0
"338",84.5,0.25,0
"339",84.75,0.25,0
"340",85,0.25,0
"341",85.25,0.25,0
"342",85.5,0.25,0
"343",85.75,0.25,0
"344",86,0.25,0
"345",86.25,0.25,0
"346",86.5,0.25,0
"347",86.75,0.25,0
"348",87,0.25,0
"349",87.25,0.25,0
"350",87.5,0.25,0
"351",87.75,0.25,0
"352",88,0.25,0
"353",88.25,0.25,0
"354",88.5,0.25,0
"355",88.75,0.25,0
"356",89,0.25,0
"357",89.25,0.25,0
"358",89.5,0.25,0
"359",89.75,0.25,0
"360",90,0.25,0
"361",90.25,0.25,0
"362",90.5,0.25,0
"363",90.75,0.25,0
"364",91,0.25,0
"365",91.25,0.25,0
"366",91.5,0.25,0
"367",91.75,0.25,0
"368",92,0.25,0
"369",92.25,0.25,0
"370",92.5,0.25,0
"371",92.75,0.25,0
"372",93,0.25,0
"373",93.25,0.25,0
"374",93.5,0.25,0
"375",93.75,0.25,0
"376",94,0.25,0
"377",94.25,0.25,0
"378",94.5,0.25,0
"379",94.75,0.25,0
"380",95,0.25,0
"381",95.25,0.25,0
"382",95.5,0.25,0
"383",95.75,0.25,0
"384",96,0.25,0
"385",96.25,0.25,0
"386",96.5,0.25,0
"387",96.75,0.25,0
"388",97,0.25,0
"389",97.25,0.25,0
"390",97.5,0.25,0
"391",97.75,0.25,0
"392",98,0.25,0
"393",98.25,0.25,0
"394",98.5,0.25,0
"395",98.75,0.25,0
"396",99,0.25,0
"397",99.25,0.25,0
"398",99.5,0.25,0
"399",99.75,0.25,0
"400",100,0.25,0
"401",0.25,0.5,0
"402",0.5,0.5,0
"403",0.75,0.5,0
"404",1,0.5,0
"405",1.25,0.5,0
"406",1.5,0.5,1
"407",1.75,0.5,1
"408",2,0.5,1
"409",2.25,0.5,1
"410",2.5,0.5,1
"411",2.75,0.5,1
"412",3,0.5,1
"413",3.25,0.5,1
"414",3.5,0.5,1
"415",3.75,0.5,1
"416",4,0.5,1
"417",4.25,0.5,1
"418",4.5,0.5,1
"419",4.75,0.5,1
"420",5,0.5,1
"421",5.25,0.5,1
"422",5.5,0.5,1
"423",5.75,0.5,1
"424",6,0.5,1
"425",6.25,0.5,1
"426",6.5,0.5,1
"427",6.75,0.5,1
"428",7,0.5,1
"429",7.25,0.5,1
"430",7.5,0.5,1
"431",7.75,0.5,1
"432",8,0.5,1
"433",8.25,0.5,1
